survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,survey.notes
7/3/2023,NA,CP3_4_4,CP3_4,CP3,4,4,1.2,1.5,NA
7/3/2023,NA,CP3_4_5,CP3_4,CP3,4,5,0.6,0.7,NA
7/3/2023,NA,CP3_4_6,CP3_4,CP3,4,6,1.2,1.4,NA
7/3/2023,NA,CP3_4_7,CP3_4,CP3,4,7,1,1.8,NA
7/3/2023,NA,CP3_4_8,CP3_4,CP3,4,8,0.9,1,NA
7/3/2023,NA,CP3_4_9,CP3_4,CP3,4,9,0.7,1.2,NA
7/3/2023,NA,CP3_4_10,CP3_4,CP3,4,10,1.2,1.1,NA
7/3/2023,NA,CP3_4_11,CP3_4,CP3,4,11,1.7,1.4,NA
7/3/2023,NA,CP3_4_12,CP3_4,CP3,4,12,1,1.8,NA
7/3/2023,NA,CP3_4_13,CP3_4,CP3,4,13,1.4,1.5,NA
7/3/2023,NA,CP3_5_1,CP3_5,CP3,5,1,1.3,1.9,NA
7/3/2023,NA,CP3_5_2,CP3_5,CP3,5,2,1,1.2,NA
7/3/2023,NA,CP3_5_3,CP3_5,CP3,5,3,1,1.3,NA
7/3/2023,NA,CP3_5_4,CP3_5,CP3,5,4,1.5,2.3,NA
7/3/2023,NA,CP3_5_5,CP3_5,CP3,5,5,1,1.7,NA
7/3/2023,NA,CP3_5_6,CP3_5,CP3,5,6,1.1,1.8,NA
7/3/2023,NA,CP3_5_7,CP3_5,CP3,5,7,1,2.1,NA
7/3/2023,NA,CP3_5_8,CP3_5,CP3,5,8,1.1,1.7,NA
7/3/2023,NA,CP3_5_9,CP3_5,CP3,5,9,1.1,1.7,NA
7/3/2023,NA,CP3_5_10,CP3_5,CP3,5,10,1.2,1.5,NA
7/3/2023,NA,CP3_5_11,CP3_5,CP3,5,11,1.2,1.8,NA
7/3/2023,NA,CP3_5_12,CP3_5,CP3,5,12,1.2,2.1,NA
7/3/2023,NA,CP3_5_13,CP3_5,CP3,5,13,0.8,1.4,NA
7/3/2023,NA,CP3_6_1,CP3_6,CP3,6,1,1.2,1.5,NA
7/3/2023,NA,CP3_6_2,CP3_6,CP3,6,2,1,0.9,NA
7/3/2023,NA,CP3_6_3,CP3_6,CP3,6,3,0.7,1.1,NA
7/3/2023,NA,CP3_6_4,CP3_6,CP3,6,4,0.9,1.5,NA
7/3/2023,NA,CP3_6_5,CP3_6,CP3,6,5,0.4,1.3,NA
7/3/2023,NA,CP3_6_6,CP3_6,CP3,6,6,1.4,1.7,NA
7/3/2023,NA,CP3_6_7,CP3_6,CP3,6,7,1,1.2,NA
7/3/2023,NA,CP3_6_8,CP3_6,CP3,6,8,1,1.2,NA
7/3/2023,NA,CP3_6_9,CP3_6,CP3,6,9,1,1.2,NA
7/3/2023,NA,CP3_6_10,CP3_6,CP3,6,10,0.9,0.9,NA
7/3/2023,NA,CP3_6_11,CP3_6,CP3,6,11,0.8,0.7,NA
7/3/2023,NA,CP3_6_12,CP3_6,CP3,6,12,0.7,1.5,NA
7/3/2023,NA,CP3_6_13,CP3_6,CP3,6,13,0.5,1.1,NA
7/3/2023,NA,CP3_7_2,CP3_7,CP3,7,2,0.7,1.7,NA
7/3/2023,NA,CP3_7_4,CP3_7,CP3,7,4,0.9,0.9,NA
7/3/2023,NA,CP3_7_5,CP3_7,CP3,7,5,1,1.1,NA
7/3/2023,NA,CP3_7_10,CP3_7,CP3,7,10,0.8,0.8,NA
