block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
D ,B ,5,A ,DPR ,6,5,,,,Dead 
D ,B ,5,B ,SC ,2,6,,,,Dead 
D ,B ,6,A ,SQ2 ,8,12,,,,Dead 
D ,B ,6,B ,WL2 ,6,12,,,,Dead 
D ,B ,7,A ,LV3 ,5,2,,,,Dead 
D ,B ,7,B ,FR ,6,11,,,,
D ,B ,8,A ,YO7 ,7,2,,,,
D ,B ,8,B ,TM2 ,2,8,,,,
D ,B ,9,A ,SC ,4,6,,,,
D ,B ,9,B ,YO8 ,2,2,,,,
D ,B ,10,A ,CP2 ,4,4,,,,
D ,B ,10,B ,YO8 ,8,6,,,,
D ,B ,11,A ,SC ,8,14,,,,
D ,B ,11,B ,TM2 ,1,5,,,,
D ,B ,12,A ,SC ,2,17,,,,
D ,B ,12,B ,YO11 ,8,12,,,,
D ,B ,13,A ,YO11 ,7,12,,,,
D ,B ,13,B ,SQ1 ,6,8,,,,
D ,B ,14,A ,WL2 ,5,12,,,,
D ,B ,14,B ,YO11 ,6,12,,,,
D ,B ,15,A ,YO7 ,7,20,,,,
D ,B ,15,B ,YO11 ,1,12,,,,
D ,B ,16,A ,DPR ,3,11,,,,
D ,B ,16,B ,LV1 ,8,5,,,,
D ,B ,17,A ,IH ,3,6,7.7,5.1,Y ,
D ,B ,17,B ,YO7 ,4,9,,,,
D ,B ,18,A ,LVTR1 ,2,4,,,,
D ,B ,18,B ,LV1 ,2,5,,,,
D ,B ,19,A ,LVTR1 ,6,4,,,,Dead 
D ,B ,19,B ,FR ,7,6,,,,Dead 
D ,B ,20,A ,WL2 ,7,12,,,,Dead 
D ,B ,20,B ,WL2 ,8,12,,,,Dead 
D ,B ,21,A ,WL2 ,1,12,,,,Dead 
D ,B ,21,B ,LV1 ,5,5,,,,Dead 
C ,B ,22,A ,IH ,3,5,13.1,5.4,Y ,
C ,B ,22,B ,IH ,4,5,,,,Dead 
C ,B ,23,A ,CC ,9,5,,,,Dead 
C ,B ,23,B ,YO11 ,3,5,,,,Dead 
